"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4";"C_0805_2012Metric";1;"22uF";;;
2;"C31,C26,C40,C13,C23,C1,C36,C5,C12,C11,C15,C33,C39,C2,C9,C17,C21";"C_0805_2012Metric";17;"100nF";;;
3;"C22,C35,C25,C10,C30";"C_0805_2012Metric";5;"47nF";;;
4;"J6";"DIP-8_300_ELL";1;"conn_comms";;;
5;"R28,R14,R24,R46,R44,R9,R32,R10,R49,R61,R36,R15,R20,R29,R13,R50,R26,R23,R21,R45,R43,R41,R27,R34,R60,R17,R35,R16,R33,R2,R22,R37,R40";"R_0805_2012Metric";33;"4.7K";;;
6;"D8,D13,D1,D12,D9,D14";"D_SOD-323_HandSoldering";6;"3.3V";;;
7;"D18,D19";"D_SOD-123";2;"Schottky";;;
8;"J4";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TC";;;
9;"R7,R6,R4";"R_0805_2012Metric";3;"10K";;;
10;"C6,C3";"C_0805_2012Metric";2;"10uF";;;
11;"U4";"LQFP-64_10x10mm_P0.5mm";1;"STM32F446RETx";;;
12;"R3,R52,R11,R25,R12,R42,R51,R8,R53";"R_0805_2012Metric";9;"120R";;;
13;"C37,C32,C27,C34,C24";"C_0805_2012Metric";5;"220pF";;;
14;"C42,C41";"C_2220_5750Metric";2;"47uF";;;
15;"D2";"DO-214AB_TVS";1;"SMCJ20CA";;;
16;"R1";"R_0805_2012Metric";1;"47K";;;
17;"C7,C8";"C_0805_2012Metric";2;"27pF";;;
18;"D5,D16";"LED_0805_2012Metric";2;"RED";;;
19;"R59,R31,R19,R48,R39";"R_1206_3216Metric";5;"47R 1/4W";;;
20;"FB1";"R_0805_2012Metric";1;"Ferrite_Bead_Small";;;
21;"J3";"DIP-8_300_ELL";1;"batt";;;
22;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"PowerLED_Jumper";;;
23;"C19,C20";"C_0805_2012Metric";2;"10nF";;;
24;"J7";"DIP-8_300_ELL";1;"out1_2";;;
25;"C16,C18";"C_0805_2012Metric";2;"1uF";;;
26;"R30,R18,R38,R47,R58";"R_0805_2012Metric";5;"1.2K";;;
27;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"8mHz";;;
28;"D7,D6";"SOT-23";2;"BAT54S";;;
29;"U6";"MSOP-8_3x3mm_P0.65mm";1;"MCP9808";;;
30;"SW1";"CJS-1200TB";1;"BOOT";;;
31;"U14";"Converter_DCDC_Murata_OKI-78SR_Horizontal";1;"OKI-78SR-5_1.5-W36H-C";;;
32;"C38,C14";"C_0805_2012Metric";2;"4.7uF";;;
33;"J9";"DIP-8_300_ELL";1;"out5_6";;;
34;"U13,U11,U9,U8,U10";"TDSO-14";5;"BTS7008-2EPA";;;
35;"U7,U12";"TSSOP-14_4.4x5mm_P0.65mm";2;"LM324";;;
36;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MB85RC256V";;;
37;"U1";"VXO78x-500-M";1;"VXO7805-500-M";;;
38;"D4";"SOT-23-3";1;"NUP2105LT1G";;;
39;"U2";"SOT-223";1;"LD1117S33CTR";;;
40;"R5";"R_0805_2012Metric";1;"1K";;;
41;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"PCA82C250";;;
42;"D17,D3";"LED_0805_2012Metric";2;"GRN";;;
43;"J8";"DIP-8_300_ELL";1;"out3_4";;;
44;"J10";"DIP-8_300_ELL";1;"out7_8";;;
45;"J11";"DIP-8_300_ELL";1;"out9_10";;;
46;"U15";"Converter_DCDC_TRACO_TSR-1_THT";1;"TSR_1-2450";;;
